RRGM Dictionary X Semantic Fingerprint Map v0.2
Internal production map for de-templated domain entries

Rule: fixed schema, bespoke semantic content.
Every invariant and domain line must remain specific to its own headword.

Format: ID | headword | active domains | distinctive invariant

X001 | x | [COG],[LIN],[MYT],[FOR] | x can hold an unknown, variable, label, mark, or crossing role selected by context.
X002 | X | [LIN],[REL],[MYT],[FOR] | X is the uppercase recognition mark used to single out a crossing, target, cancellation, unknown, or chosen location.
X003 | x-axis | [PHY],[DIG],[FOR] | x-axis is the horizontal reference line against which x-values are located.
X004 | x-coordinate | [PHY],[DIG],[FOR] | x-coordinate is the located position of one point along the x dimension.
X005 | x-value | [PHY],[DIG],[FOR] | x-value is the specific quantity currently filling the x slot.
X006 | x-ray | [PHY],[BIO] | x-ray is penetrating electromagnetic radiation used to reveal internal material differences.
X007 | x-ray-image | [PHY],[BIO],[DIG] | x-ray-image is the recorded pattern produced from x-ray transmission through a subject.
X008 | x-ray-vision | [COG],[LIN],[MYT] | x-ray-vision is the imagined capacity to perceive what ordinary surfaces conceal.
X009 | xenon | [PHY] | xenon is the chemical element with atomic number 54, a heavy noble gas under ordinary conditions.
X010 | xylophone | [PHY] | xylophone is a tuned set of bars that produces distinct pitches when struck.
X011 | xylem | [BIO] | xylem is vascular plant tissue that carries water and dissolved minerals mainly from roots toward shoots.
X012 | xerox | [PHY],[LIN] | xerox is a photocopied duplicate or the act of producing one through a copying process.
X013 | XML | [DIG],[LIN] | XML is a tag-based text language for representing hierarchical data.
X014 | x-factor | [COG],[REL] | x-factor is an influential quality whose effect is noticed before its mechanism is clearly named.
X015 | x-mark | [LIN],[REL],[FOR] | x-mark is a visible X-shaped sign used to select, reject, locate, cancel, warn, or identify.
X016 | x-shape | [PHY],[FOR],[MYT] | x-shape is a form made by two lines or paths crossing diagonally.
X017 | x-cross | [PHY],[FOR],[REL] | x-cross is the intersection created where two paths meet in an X formation.
X018 | x-point | [PHY],[LIN],[FOR] | x-point is one selected location identified by X or positioned on the x reference.
X019 | x-line | [PHY],[LIN],[FOR] | x-line is a line assigned an x-related reference, path, boundary, or label.
X020 | x-position | [PHY],[DIG],[FOR] | x-position is an object's current location measured along the x direction.
X021 | x-variable | [DIG],[FOR] | x-variable is a changeable or unknown formal quantity named x.
X022 | x-unknown | [COG],[FOR] | x-unknown is the unresolved quantity represented by x that a problem asks reasoning to determine.
X023 | x-target | [DIG],[LIN],[REL] | x-target is the selected destination, object, or focus indicated by an X.
X024 | x-intercept | [FOR] | x-intercept is the point where a graph meets the x-axis and the plotted output equals zero.
X025 | x-domain | [FOR] | x-domain is the complete set of x inputs permitted by a function, relation, or problem.
X026 | x-range | [DIG],[FOR] | x-range is the span or collected spread of x-values under consideration.
X027 | x-input | [DIG],[FOR] | x-input is the value supplied in the x role before a process or function runs.
X028 | x-output | [DIG],[FOR] | x-output is a produced result associated with x or a result channel explicitly named x.
X029 | x-scale | [PHY],[DIG],[FOR] | x-scale is the rule that converts x displacement or ordering into stated value differences.
X030 | x-state | [COG],[DIG],[FOR] | x-state is the present status of x, including its value, validity, role, and change condition.
X031 | x-ray-scan | [PHY],[BIO],[DIG] | x-ray-scan is an ordered acquisition of x-ray measurements used to reconstruct or inspect internal structure.
X032 | x-ray-check | [PHY],[BIO] | x-ray-check is a targeted inspection that uses x-ray evidence to answer a specific internal-structure question.
X033 | x-ray-through | [PHY],[MYT] | x-ray-through is the act or metaphor of looking beyond a surface into concealed supporting structure.
X034 | x-mark-place | [DIG],[LIN],[REL] | x-mark-place is the act of binding an X mark to one chosen location.
X035 | x-mark-error | [COG],[DIG],[LIN] | x-mark-error is the use of X to record that an item failed a stated check.
X036 | x-mark-choice | [DIG],[LIN],[REL] | x-mark-choice is the use of X to record one selected option from an available set.
X037 | x-out | [DIG],[LIN],[REL] | x-out is the act of crossing through a pattern to cancel, reject, remove, or exclude it from active use.
