RRGM Dictionary Z Semantic Fingerprint Map v0.2
Internal production map for de-templated domain entries

Rule: fixed schema, bespoke semantic content.
Format: ID | headword | active domains | distinctive invariant | source relation

Z001 | zero | [FOR],[DIG],[PHY] | Zero is a declared no-quantity, baseline, neutral value, reset point, or empty count inside a specified frame. | unique source headword
Z002 | zone | [PHY],[REL],[DIG] | A zone is a bounded region whose inside and outside are distinguished by location, rule, function, or access. | unique source headword
Z003 | zoom | [DIG],[COG],[PHY] | Zoom changes the scale at which one field is presented without claiming that the underlying field itself has changed. | unique source headword
Z004 | zigzag | [PHY],[FOR],[COG] | A zigzag is a path whose direction alternates through successive angled turns rather than continuing straight. | unique source headword
Z005 | zip | [PHY],[DIG],[LIN] | Zip names rapid movement, interlocking closure, data compression, or a brief lively quality, with the active sense fixed by context. | unique source headword
Z006 | zipper | [PHY],[REL] | A zipper is a reversible fastener whose slider joins or separates two aligned rows of interlocking elements. | unique source headword
Z007 | zinc | [PHY],[BIO] | Zinc is the chemical element with atomic number 30 and the material behaviours belonging to that element and its compounds. | unique source headword
Z008 | zebra | [BIO],[LIN] | A zebra is an equid species recognized by its body form, social life, and individually varying striped coat. | unique source headword
Z009 | zoo | [BIO],[REL],[PHY] | A zoo is an institutionally bounded place where nonhuman animals are confined, cared for, displayed, studied, bred, or conserved. | unique source headword
Z010 | zenith | [PHY],[LIN],[MYT] | Zenith is the highest position, magnitude, or phase reached inside a declared path or comparison frame. | unique source headword
Z011 | zest | [BIO],[COG],[REL] | Zest is a bright sensory or motivational sharpness that adds flavour, liveliness, or eager engagement. | unique source headword
Z012 | zeal | [COG],[REL],[MYT] | Zeal is sustained high-intensity commitment directed toward a valued goal, belief, or cause. | unique source headword
Z013 | zealous | [COG],[REL] | Zealous describes an actor or action currently expressing zeal through unusually intense commitment. | unique source headword
Z014 | zodiac | [PHY],[MYT],[LIN] | The zodiac is a culturally organized band of celestial positions divided into named signs for astronomical or astrological use. | unique source headword
Z015 | zombie | [MYT],[LIN],[REL] | Zombie names a fictional being or metaphor of animated action lacking ordinary life, agency, awareness, or self-direction. | unique source headword
Z016 | zygote | [BIO],[REL] | A zygote is the single cell produced by fusion of two gametes before subsequent embryonic divisions. | unique source headword
Z017 | z-axis | [FOR],[PHY],[DIG] | The z-axis is the reference dimension that supplies depth or vertical displacement in a three-dimensional coordinate frame. | unique source headword
Z018 | z-coordinate | [FOR],[PHY],[DIG] | A z-coordinate is the signed location of one point along the z dimension of a declared coordinate frame. | unique source headword
Z019 | z-value | [FOR],[DIG],[PHY] | A z-value is the specific quantity currently assigned to the symbol or field z, whether or not it represents spatial depth. | unique source headword
Z020 | z-state | [FOR],[DIG],[COG] | Z-state is the full current condition of z, including its value, validity, availability, and role in the active system. | unique source headword
Z021 | zero-state | [DIG],[FOR],[PHY] | Zero-state is a system condition deliberately classified as baseline, inactive, neutral, reset, or empty count. | unique source headword
Z022 | zero-point | [FOR],[PHY],[COG] | A zero-point is the selected location from which values, distances, deviations, or sequence positions are counted. | unique source headword
Z023 | zero-sum | [FOR],[REL],[DIG] | Zero-sum describes a closed allocation in which total net gain and loss across all participants equals zero. | unique source headword
Z024 | zero-risk | [FOR],[REL],[DIG] | Zero-risk is the claim that a named failure mode has no remaining probability or reachable path under stated conditions. | Duplicate headword with Z173. Z024 is the absence claim; Z173 defines the danger created by misuse of zero language.
Z025 | zero-trust | [DIG],[REL],[FOR] | Zero-trust is an access architecture in which identity, device, request, and context are verified rather than granted confidence from network location alone. | unique source headword
Z026 | zone-state | [PHY],[REL],[DIG] | Zone-state is the current configuration of one bounded region, including its active conditions, access, rules, and internal activity. | unique source headword
